,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
101,2021-01-02 01:15:00,,,,,,
102,2021-01-02 01:30:00,,,,,,
103,2021-01-02 01:45:00,,,,,,
104,2021-01-02 02:00:00,,,,,,
105,2021-01-02 02:15:00,,,,,,
106,2021-01-02 02:30:00,,,,,,
107,2021-01-02 02:45:00,,,,,,
108,2021-01-02 03:00:00,,,,,,
109,2021-01-02 03:15:00,,,,,,
110,2021-01-02 03:30:00,,,,,,
111,2021-01-02 03:45:00,,,,,,
112,2021-01-02 04:00:00,,,,,,
113,2021-01-02 04:15:00,,,,,,
114,2021-01-02 04:30:00,,,,,,
115,2021-01-02 04:45:00,,,,,,
116,2021-01-02 05:00:00,,,,,,
117,2021-01-02 05:15:00,,,,,,
118,2021-01-02 05:30:00,,,,,,
119,2021-01-02 05:45:00,,,,,,
120,2021-01-02 06:00:00,,,,,,
121,2021-01-02 06:15:00,,,,,,
122,2021-01-02 06:30:00,,,,,,
123,2021-01-02 06:45:00,,,,,,
124,2021-01-02 07:00:00,,,,,,
125,2021-01-02 07:15:00,,,,,,
126,2021-01-02 07:30:00,,,,,,
127,2021-01-02 07:45:00,,,,,,
128,2021-01-02 08:00:00,,,,,,
129,2021-01-02 08:15:00,,,,,,
130,2021-01-02 08:30:00,,,,,,
131,2021-01-02 08:45:00,,,,,,
132,2021-01-02 09:00:00,,,,,,
133,2021-01-02 09:15:00,,,,,,
134,2021-01-02 09:30:00,,,,,,
135,2021-01-02 09:45:00,,,,,,
136,2021-01-02 10:00:00,,,,,,
137,2021-01-02 10:15:00,,,,,,
138,2021-01-02 10:30:00,,,,,,
139,2021-01-02 10:45:00,,,,,,
140,2021-01-02 11:00:00,,,,,,
141,2021-01-02 11:15:00,,,,,,
142,2021-01-02 11:30:00,,,,,,
143,2021-01-02 11:45:00,,,,,,
144,2021-01-02 12:00:00,,,,,,
145,2021-01-02 12:15:00,,,,,,
146,2021-01-02 12:30:00,,,,,,
147,2021-01-02 12:45:00,,,,,,
148,2021-01-02 13:00:00,,,,,,
149,2021-01-02 13:15:00,,,,,,
150,2021-01-02 13:30:00,,,,,,
151,2021-01-02 13:45:00,,,,,,
152,2021-01-02 14:00:00,,,,,,
153,2021-01-02 14:15:00,,,,,,
154,2021-01-02 14:30:00,,,,,,
155,2021-01-02 14:45:00,,,,,,
156,2021-01-02 15:00:00,,,,,,
157,2021-01-02 15:15:00,,,,,,
158,2021-01-02 15:30:00,,,,,,
159,2021-01-02 15:45:00,,,,,,
160,2021-01-02 16:00:00,,,,,,
161,2021-01-02 16:15:00,,,,,,
162,2021-01-02 16:30:00,,,,,,
163,2021-01-02 16:45:00,,,,,,
164,2021-01-02 17:00:00,,,,,,
165,2021-01-02 17:15:00,,,,,,
166,2021-01-02 17:30:00,,,,,,
167,2021-01-02 17:45:00,,,,,,
168,2021-01-02 18:00:00,,,,,,
169,2021-01-02 18:15:00,,,,,,
170,2021-01-02 18:30:00,,,,,,
171,2021-01-02 18:45:00,,,,,,
172,2021-01-02 19:00:00,,,,,,
173,2021-01-02 19:15:00,,,,,,
174,2021-01-02 19:30:00,,,,,,
175,2021-01-02 19:45:00,,,,,,
176,2021-01-02 20:00:00,,,,,,
177,2021-01-02 20:15:00,,,,,,
178,2021-01-02 20:30:00,,,,,,
179,2021-01-02 20:45:00,,,,,,
180,2021-01-02 21:00:00,,,,,,
181,2021-01-02 21:15:00,,,,,,
182,2021-01-02 21:30:00,,,,,,
183,2021-01-02 21:45:00,,,,,,
184,2021-01-02 22:00:00,,,,,,
185,2021-01-02 22:15:00,,,,,,
186,2021-01-02 22:30:00,,,,,,
187,2021-01-02 22:45:00,,,,,,
188,2021-01-02 23:00:00,,,,,,
189,2021-01-02 23:15:00,,,,,,
190,2021-01-02 23:30:00,,,,,,
191,2021-01-02 23:45:00,,,,,,
192,2021-01-03 00:00:00,1027.627,70.977,7.616,2.687,76.935,4.406
193,2021-01-03 00:15:00,1027.692,70.613,7.728,2.721,77.56,4.204
194,2021-01-03 00:30:00,1027.768,70.116,7.855,2.744,77.415,3.99
195,2021-01-03 00:45:00,1027.848,69.773,7.943,2.76,76.421,3.751
196,2021-01-03 01:00:00,1027.921,69.872,7.938,2.775,74.428,3.474
197,2021-01-03 01:15:00,1027.979,70.604,7.805,2.79,71.167,3.158
198,2021-01-03 01:30:00,1028.019,71.77,7.585,2.807,66.268,2.83
199,2021-01-03 01:45:00,1028.037,73.07,7.339,2.826,59.324,2.527
200,2021-01-03 02:00:00,1028.029,74.208,7.128,2.845,50.153,2.291
201,2021-01-03 02:15:00,1027.994,74.963,6.998,2.866,39.271,2.162
202,2021-01-03 02:30:00,1027.946,75.421,6.941,2.897,27.932,2.145
203,2021-01-03 02:45:00,1027.898,75.748,6.932,2.948,17.525,2.227
204,2021-01-03 03:00:00,1027.867,76.106,6.949,3.028,8.881,2.376
205,2021-01-03 03:15:00,1027.862,76.619,6.972,3.144,2.192,2.559
206,2021-01-03 03:30:00,1027.879,77.237,6.995,3.28,357.495,2.75
207,2021-01-03 03:45:00,1027.91,77.87,7.016,3.416,354.732,2.923
208,2021-01-03 04:00:00,1027.946,78.426,7.033,3.535,353.853,3.062
209,2021-01-03 04:15:00,1027.98,78.84,7.043,3.62,354.71,3.154
210,2021-01-03 04:30:00,1028.013,79.143,7.047,3.679,356.512,3.203
