,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
138,2021-01-02 10:30:00,,,,,,
139,2021-01-02 10:45:00,,,,,,
140,2021-01-02 11:00:00,,,,,,
141,2021-01-02 11:15:00,,,,,,
142,2021-01-02 11:30:00,,,,,,
143,2021-01-02 11:45:00,,,,,,
144,2021-01-02 12:00:00,,,,,,
145,2021-01-02 12:15:00,,,,,,
146,2021-01-02 12:30:00,,,,,,
147,2021-01-02 12:45:00,,,,,,
148,2021-01-02 13:00:00,,,,,,
149,2021-01-02 13:15:00,,,,,,
150,2021-01-02 13:30:00,,,,,,
151,2021-01-02 13:45:00,,,,,,
152,2021-01-02 14:00:00,,,,,,
153,2021-01-02 14:15:00,,,,,,
154,2021-01-02 14:30:00,,,,,,
155,2021-01-02 14:45:00,,,,,,
156,2021-01-02 15:00:00,,,,,,
157,2021-01-02 15:15:00,,,,,,
158,2021-01-02 15:30:00,,,,,,
159,2021-01-02 15:45:00,,,,,,
160,2021-01-02 16:00:00,,,,,,
161,2021-01-02 16:15:00,,,,,,
162,2021-01-02 16:30:00,,,,,,
163,2021-01-02 16:45:00,,,,,,
164,2021-01-02 17:00:00,,,,,,
165,2021-01-02 17:15:00,,,,,,
166,2021-01-02 17:30:00,,,,,,
167,2021-01-02 17:45:00,,,,,,
168,2021-01-02 18:00:00,,,,,,
169,2021-01-02 18:15:00,,,,,,
170,2021-01-02 18:30:00,,,,,,
171,2021-01-02 18:45:00,,,,,,
172,2021-01-02 19:00:00,,,,,,
173,2021-01-02 19:15:00,,,,,,
174,2021-01-02 19:30:00,,,,,,
175,2021-01-02 19:45:00,,,,,,
176,2021-01-02 20:00:00,,,,,,
177,2021-01-02 20:15:00,,,,,,
178,2021-01-02 20:30:00,,,,,,
179,2021-01-02 20:45:00,,,,,,
180,2021-01-02 21:00:00,,,,,,
181,2021-01-02 21:15:00,,,,,,
182,2021-01-02 21:30:00,,,,,,
183,2021-01-02 21:45:00,,,,,,
184,2021-01-02 22:00:00,,,,,,
185,2021-01-02 22:15:00,,,,,,
186,2021-01-02 22:30:00,,,,,,
187,2021-01-02 22:45:00,,,,,,
188,2021-01-02 23:00:00,,,,,,
189,2021-01-02 23:15:00,,,,,,
190,2021-01-02 23:30:00,,,,,,
191,2021-01-02 23:45:00,,,,,,
192,2021-01-03 00:00:00,879.355,80.165,-14.621,-17.283,278.566,2.355
193,2021-01-03 00:15:00,879.347,80.451,-14.828,-17.442,282.237,2.284
194,2021-01-03 00:30:00,879.328,80.591,-15.042,-17.631,285.372,2.206
195,2021-01-03 00:45:00,879.295,80.6,-15.252,-17.835,287.95,2.122
196,2021-01-03 01:00:00,879.25,80.494,-15.445,-18.039,289.921,2.035
197,2021-01-03 01:15:00,879.192,80.292,-15.611,-18.231,291.23,1.949
198,2021-01-03 01:30:00,879.123,80.034,-15.752,-18.407,291.94,1.879
199,2021-01-03 01:45:00,879.044,79.764,-15.875,-18.566,292.154,1.841
200,2021-01-03 02:00:00,878.957,79.525,-15.983,-18.707,292.022,1.856
201,2021-01-03 02:15:00,878.865,79.346,-16.082,-18.83,291.695,1.931
202,2021-01-03 02:30:00,878.775,79.199,-16.17,-18.938,291.149,2.049
203,2021-01-03 02:45:00,878.696,79.04,-16.248,-19.037,290.323,2.182
204,2021-01-03 03:00:00,878.635,78.825,-16.313,-19.133,289.145,2.304
205,2021-01-03 03:15:00,878.598,78.526,-16.366,-19.229,287.597,2.394
206,2021-01-03 03:30:00,878.578,78.179,-16.412,-19.326,285.972,2.459
207,2021-01-03 03:45:00,878.565,77.834,-16.46,-19.424,284.63,2.506
208,2021-01-03 04:00:00,878.548,77.542,-16.516,-19.522,283.925,2.545
209,2021-01-03 04:15:00,878.518,77.339,-16.585,-19.62,284.092,2.581
210,2021-01-03 04:30:00,878.475,77.203,-16.667,-19.721,284.869,2.616
211,2021-01-03 04:45:00,878.42,77.095,-16.759,-19.826,285.89,2.648
212,2021-01-03 05:00:00,878.354,76.976,-16.856,-19.939,286.81,2.677
213,2021-01-03 05:15:00,878.278,76.818,-16.956,-20.06,287.37,2.704
214,2021-01-03 05:30:00,878.204,76.621,-17.049,-20.18,287.597,2.736
215,2021-01-03 05:45:00,878.142,76.395,-17.124,-20.287,287.585,2.787
216,2021-01-03 06:00:00,878.104,76.15,-17.171,-20.37,287.427,2.867
217,2021-01-03 06:15:00,878.097,75.891,-17.183,-20.421,287.216,2.984
218,2021-01-03 06:30:00,878.115,75.619,-17.167,-20.448,287.035,3.127
219,2021-01-03 06:45:00,878.145,75.328,-17.135,-20.46,286.947,3.28
220,2021-01-03 07:00:00,878.177,75.015,-17.096,-20.471,287.002,3.426
221,2021-01-03 07:15:00,878.203,74.679,-17.059,-20.487,287.209,3.552
222,2021-01-03 07:30:00,878.227,74.33,-17.022,-20.505,287.448,3.658
223,2021-01-03 07:45:00,878.258,73.98,-16.98,-20.519,287.584,3.745
224,2021-01-03 08:00:00,878.303,73.645,-16.929,-20.522,287.494,3.813
